Regions,Abbreviations,Dates,Egg and/or flesh food consumption,Minimum dietary diversity,Minimum meal frequency,Minimum acceptable diet
East Asia and the Pacific,EAP,2016-2022,74,55,72,41
Eastern Europe and Central Asia ,EECA,2016-2022,-,-,-,-
Eastern and Southern Africa,ESA,2016-2022,35,20,50,14
Latin America & the Caribbean,LAC,2016-2022,74,62,-,-
Middle East and North Africa,MENA,2016-2022,60,46,60,28
North America,NA,2016-2022,-,-,-,-
South Asia,SA,2016-2022,29,24,42,13
West and Central Africa,WCA,2016-2022,46,25,37,11
Western Europe,WE,2016-2022,-,-,-,-
Australia and New Zealand,,2016-2022,-,-,-,-
Central Asia and Southern Asia,,2016-2022,30,27,43,14
Eastern Asia and South-eastern Asia,,2016-2022,74,56,72,41
Latin America and the Caribbean,,2016-2022,74,62,-,-
Northern America and Europe,,2016-2022,-,-,-,-
Oceania excluding Australia and New Zealand,,2016-2022,44,34,46,19
Sub-Saharan Africa,,2016-2022,41,23,43,12
Western Asia and Northern Africa,,2016-2022,-,39,-,-
Africa,,2016-2022,43,25,44,14
Eastern Africa,,2016-2022,32,19,51,14
Middle Africa,,2016-2022,51,20,40,12
Northern Africa,,2016-2022,59,42,55,26
Southern Africa,,2016-2022,60,39,44,18
Western Africa,,2016-2022,44,27,36,11
Asia,,2016-2022,47,38,55,25
Central Asia,,2016-2022,59,51,66,36
Eastern Asia,,2016-2022,76,60,72,43
Southern Asia,,2016-2022,29,26,42,13
South-eastern Asia,,2016-2022,71,50,72,39
Western Asia,,2016-2022,-,35,-,-
Latin America and the Caribbean,,2016-2022,74,62,-,-
Caribbean,,2016-2022,56,43,-,-
Central America,,2016-2022,-,-,57,-
South America,,2016-2022,76,65,-,-
Oceania,,2016-2022,-,-,-,-
Australia and New Zealand,,2016-2022,-,-,-,-
Melanesia,,2016-2022,43,34,46,19
Micronesia,,2016-2022,59,14,69,10
Polynesia,,2016-2022,60,30,47,16
Europe,,2016-2022,-,-,-,-
Northern America,,2016-2022,-,-,-,-
