neo,diameter,eccentricity,semiMajorAxis,perihelionDistance,inclination,period
N,2.143,0.1779,2.606,2.142,10.01,1540
N,3.117,0.1529,2.735,2.317,12.05,1650
N,2.233,0.1726,2.739,2.266,13.16,1660
N,1.814,0.2167,2.546,1.995,17.45,1480
N,2.46,0.2122,3.137,2.472,10.02,2030
N,2.075,0.2725,2.666,1.939,14.57,1590
N,2.362,0.2636,3.133,2.307,11.75,2030
N,1.82,0.314,2.61,1.79,13.67,1540
N,2.48,0.2825,3.194,2.292,13.65,2090
N,1.639,0.1503,2.472,2.1,3.19,1420
N,2.036,0.2437,2.793,2.112,8.74,1710
N,2.745,0.0566,2.909,2.745,2.09,1810
N,1.56,0.2674,2.676,1.96,7.75,1600
N,1.684,0.4035,2.642,1.576,16.21,1570
N,1.628,0.3447,2.39,1.566,6.24,1350
N,2.616,0.1983,3.164,2.536,12.07,2060
N,1.936,0.2909,3.191,2.263,12.53,2080
N,2.302,0.1954,2.7,2.172,12.87,1620
N,1.852,0.2446,2.634,1.99,14.81,1560
N,1.614,0.1951,2.658,2.139,12.05,1580
N,2.155,0.2298,3.148,2.425,10.49,2040
N,2.396,0.2105,3.08,2.432,9.91,1970
N,4.664,0.0394,3.011,2.892,14.77,1910
N,1.929,0.3793,3.065,1.902,16.27,1960
N,3.732,0.0482,3.188,3.034,10.68,2080
N,2.193,0.0815,2.589,2.378,8.32,1520
N,2.989,0.0998,2.716,2.445,5.11,1640
N,2.433,0.2412,3.171,2.406,19.22,2060
N,1.774,0.2675,2.576,1.887,4.55,1510
N,2.541,0.1485,3.143,2.676,26.38,2030
N,2.952,0.2436,3.192,2.414,27.19,2080
N,3.252,0.2078,3.165,2.507,26.86,2060
N,3.812,0.3449,3.182,2.084,24.63,2070
N,2.302,0.2271,3.217,2.487,25.37,2110
N,2.114,0.4462,3.157,1.748,24.22,2050
Y,0.206,0.546,1.964,0.892,14.14,1010
Y,0.412,0.6996,2.416,0.726,2.33,1370
Y,0.562,0.2847,1.519,1.087,40.68,684
Y,3.33,0.5857,2.86,1.185,22.56,1770
N,2.052,0.4692,3.049,1.618,31.37,1940
N,1.941,0.2985,3.015,2.115,14.83,1910
N,1.662,0.2575,2.523,1.873,14.51,1460
N,1.662,0.1555,2.627,2.219,11.02,1560
N,4.596,0.077,3.191,2.945,9.98,2080
N,2.167,0.1284,3.111,2.712,7.85,2000
N,1.713,0.2627,2.485,1.832,13.08,1430
N,2.845,0.2863,3.178,2.268,15.55,2070
N,1.795,0.2734,2.687,1.953,14.05,1610
N,1.28,0.2945,2.748,1.939,18.11,1660
N,2.351,0.2182,3.199,2.501,11.48,2090
N,2.276,0.1601,3.161,2.655,4.76,2050
N,2.98,0.2194,3.208,2.504,16.83,2100
N,3.721,0.2139,3.233,2.542,26.82,2120
N,1.717,0.1566,2.395,2.02,10.91,1350
N,1.468,0.2381,2.415,1.84,8.69,1370
N,6.345,0.0925,3.154,2.862,17.41,2050
N,2.769,0.5334,3.115,1.454,25.37,2010
N,1.695,0.15,2.189,1.861,3.44,1180
N,1.94,0.2786,3.169,2.286,13.56,2060
N,2.423,0.1642,2.584,2.159,11.26,1520
N,4.31,0.0995,3.189,2.872,17.11,2080
N,2.054,0.163,2.289,1.916,3.23,1270
N,1.495,0.3198,3.074,2.091,10.27,1970
N,1.43,0.1967,2.669,2.144,4.45,1590
N,3.78,0.1584,3.205,2.698,27.26,2100
N,3.431,0.1467,3.199,2.729,18.04,2090
N,3.332,0.1711,3.179,2.635,27.67,2070
N,1.798,0.1747,2.583,2.132,9.95,1520
N,1.524,0.2116,2.615,2.062,18.39,1540
N,2.076,0.2298,3.075,2.368,15.66,1970
N,2.949,0.2202,2.652,2.068,14.96,1580
N,2.511,0.15,2.585,2.197,11.41,1520
N,4.316,0.1638,3.194,2.671,27.49,2090
N,2.045,0.2394,2.563,1.95,12.36,1500
Y,0.041,0.5273,1.793,0.848,0.83,877
N,1.672,0.3255,2.604,1.756,7,1530
N,2.286,0.2575,3.053,2.267,2.88,1950
N,2.722,0.161,3.045,2.555,18.95,1940
N,6.056,0.0525,3.407,3.228,8.68,2300
N,2.666,0.2165,3.146,2.465,9.3,2040
N,4.845,0.0563,3.042,2.871,15.69,1940
N,3.102,0.1827,2.687,2.196,9.12,1610
N,1.972,0.3011,2.569,1.795,12.88,1500
N,3.008,0.1595,3.153,2.65,23.09,2040
N,1.744,0.2058,2.597,2.063,5.56,1530
N,1.592,0.1965,2.468,1.983,1.19,1420
N,1.838,0.329,3.061,2.054,14.3,1960
N,1.513,0.2602,2.591,1.917,14.31,1520
